ID	cell_type	signature
IC51_frag	hemato	0.64
IA06_frag	hemato	1.5
IC52_frag	hemato	-0.12
IA07_frag	hemato	2.02
IC15_frag	hemato	-1.67
IH01_frag	hemato	-1.08
IC50_frag	hemato	-1.68
IC49_frag	hemato	0.5
IH02_frag	hemato	0.18
BH01_frag	hemato	0.9
IA08_frag	hemato	1.42
IA05_frag	hemato	0.64
IC17_frag	hemato	-0.78
IC20_frag	hemato	-0.42
IA06_orig	hemato	1.74
IC49_orig	hemato	0.66
IH02_orig	hemato	-0.57
BH01_orig	hemato	1.15
IA08_orig	hemato	1.35
IC17_orig	hemato	-1.32
IC51_orig	hemato	0.61
IC52_orig	hemato	-0.42
IA07_orig	hemato	2.33
IC50_orig	hemato	-2.22
IA05_orig	hemato	0.5
IC20_orig	hemato	-1.05
IH01_orig	hemato	-0.59
IC15_orig	hemato	-2.44
IC51_frag	liver	0.3
IA06_frag	liver	-1.19
IC52_frag	liver	-0.57
IA07_frag	liver	-0.07
IC15_frag	liver	0.6
IH01_frag	liver	-1.1
IC50_frag	liver	11.71
IC49_frag	liver	-1.17
IH02_frag	liver	0.85
BH01_frag	liver	0.26
IA08_frag	liver	-1.79
IA05_frag	liver	-1.35
IC17_frag	liver	4.21
IC20_frag	liver	3.79
IA06_orig	liver	0.47
IC49_orig	liver	0.14
IH02_orig	liver	-1.06
BH01_orig	liver	0.93
IA08_orig	liver	0.02
IC17_orig	liver	0.98
IC51_orig	liver	0.36
IC52_orig	liver	0.05
IA07_orig	liver	0.71
IC50_orig	liver	4.85
IA05_orig	liver	0.29
IC20_orig	liver	0.85
IH01_orig	liver	0.13
IC15_orig	liver	-0.27
IC51_frag	lung_epith	0.91
IA06_frag	lung_epith	-0.19
IC52_frag	lung_epith	5.26
IA07_frag	lung_epith	1.05
IC15_frag	lung_epith	3.92
IH01_frag	lung_epith	-1.15
IC50_frag	lung_epith	2.61
IC49_frag	lung_epith	0.74
IH02_frag	lung_epith	0.55
BH01_frag	lung_epith	0.6
IA08_frag	lung_epith	-0.09
IA05_frag	lung_epith	0.44
IC17_frag	lung_epith	2.74
IC20_frag	lung_epith	5
IA06_orig	lung_epith	0.38
IC49_orig	lung_epith	0.62
IH02_orig	lung_epith	0.27
BH01_orig	lung_epith	0.84
IA08_orig	lung_epith	0.32
IC17_orig	lung_epith	2.91
IC51_orig	lung_epith	0.9
IC52_orig	lung_epith	7.67
IA07_orig	lung_epith	1.93
IC50_orig	lung_epith	3.24
IA05_orig	lung_epith	0.76
IC20_orig	lung_epith	5.96
IH01_orig	lung_epith	-1.11
IC15_orig	lung_epith	3.89
IC51_frag	panc_epith	-0.24
IA06_frag	panc_epith	0.23
IC52_frag	panc_epith	4.62
IA07_frag	panc_epith	0.63
IC15_frag	panc_epith	0.45
IH01_frag	panc_epith	-1.03
IC50_frag	panc_epith	-0.03
IC49_frag	panc_epith	-2.48
IH02_frag	panc_epith	0.97
BH01_frag	panc_epith	0.05
IA08_frag	panc_epith	0.23
IA05_frag	panc_epith	-0.55
IC17_frag	panc_epith	2.6
IC20_frag	panc_epith	1.99
IA06_orig	panc_epith	1.06
IC49_orig	panc_epith	0.01
IH02_orig	panc_epith	-1.15
BH01_orig	panc_epith	0.69
IA08_orig	panc_epith	0.89
IC17_orig	panc_epith	0.14
IC51_orig	panc_epith	0.52
IC52_orig	panc_epith	2.28
IA07_orig	panc_epith	0.57
IC50_orig	panc_epith	-0.09
IA05_orig	panc_epith	0.41
IC20_orig	panc_epith	-0.17
IH01_orig	panc_epith	0.46
IC15_orig	panc_epith	-0.46
