length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
101	891319	206412	211978	150111	158899	1310569	871966	1071187	113001	314337	178826	127863	570030	756661	970447	227076	230631	168482	174696	3336418	2695090	1907745	122019	355868	197935	140850	603368	1752922
102	882292	208735	211598	151047	161695	1366138	909337	1099534	114866	324748	179704	144285	545396	779269	962891	229349	230236	169047	177605	3468282	2806644	1951974	123993	368158	199272	159034	577865	1797864
103	824904	200892	197446	142053	154738	1387435	936765	1120008	111602	345368	174044	151331	524747	795865	904314	220383	214767	158726	169936	3523123	2904337	1988522	120800	391549	193048	166602	556497	1834854
104	743533	180495	172311	128157	141912	1388835	942765	1118956	107199	363757	159018	149517	497875	792261	812866	198238	187471	142938	156231	3526330	2933300	1986783	115501	413804	176545	164755	527527	1829298
105	683520	168410	155629	118239	134884	1358541	921408	1088459	103314	375311	147426	147151	473489	780472	747103	185330	169203	131722	148389	3444902	2866001	1935971	111650	425848	163993	162137	502378	1801267
106	686960	171552	152421	117917	139617	1314600	891908	1057306	103228	386185	147843	148522	481871	763410	751029	188631	165871	131484	153518	3326743	2771943	1877112	111242	438329	163845	163422	511742	1764512
107	731732	181610	160014	123138	148128	1269917	858674	1021290	104854	399089	154137	151969	510242	740699	800905	200038	174314	137986	162908	3218816	2671135	1815560	113362	453522	171249	167491	541832	1712344
108	816319	196874	177924	133904	157801	1251162	837678	1000932	109038	398411	165496	154702	540200	722438	893843	216744	193895	149747	173081	3179361	2617580	1782220	117761	452950	183798	170829	573820	1679438
109	964778	219107	207208	153713	172438	1258756	840411	996920	115124	386572	185993	162293	577323	715794	1054552	240835	225858	172043	189466	3212561	2631648	1783787	124426	438716	207105	178923	614862	1663163
110	1167873	252420	253281	181264	193959	1291993	851725	1015320	124539	381381	215993	175600	634795	713240	1277366	277730	275713	203278	212813	3292101	2678861	1814079	134313	433255	239751	193745	674874	1658472
111	1325758	282210	291199	204840	214348	1319502	871056	1040232	132278	384110	242060	188908	672750	717772	1451001	310249	316959	229651	235025	3378885	2753946	1860597	142665	435641	268267	208425	715117	1671143
